Country_Region,2022/01/01,2022/01/02,2022/01/03,2022/01/04,2022/01/05,2022/01/06,2022/01/07,2022/01/08,2022/01/09,2022/01/10,2022/01/11,2022/01/12,2022/01/13,2022/01/14,2022/01/15,2022/01/16,2022/01/17,2022/01/18,2022/01/19,2022/01/20,2022/01/21,2022/01/22,2022/01/23,2022/01/24,2022/01/25,2022/01/26,2022/01/27,2022/01/28,2022/01/29,2022/01/30,2022/01/31
Lesotho,29652,29756,29999,29999,29999,29999,30651,30853,31106,31106,31372,31372,31604,31604,31734,31734,31734,31734,31899,31899,31899,31899,32049,32049,32049,32049,32049,32176,32176,32176,32176
Liberia,6278,6278,6278,6404,6851,6851,6851,6851,6851,6851,7054,7054,7121,7121,7121,7121,7121,7121,7121,7208,7208,7208,7208,7243,7243,7243,7243,7254,7254,7254,7272
Libya,388734,389650,390284,390935,391633,392276,392868,392868,393447,393983,394470,395069,395687,396452,396452,397319,398055,398940,400113,401444,403144,403144,405425,407758,410821,413066,416223,419543,419543,425237,429666
Liechtenstein,6167,6208,6236,6348,6406,6483,6597,6597,6658,6716,6824,6916,7013,7020,7153,7201,7265,7371,7488,7671,7746,7838,7838,8013,8171,8346,8465,8590,8775,8854,8928
Lithuania,526628,527906,529212,531687,535177,538619,542456,546314,549285,551188,554246,559595,564181,568737,573484,577588,580748,586197,593342,601383,609126,617325,623753,628370,634929,646763,659556,673034,686347,697856,705158
Luxembourg,103766,103766,105358,106235,108366,110298,112203,112203,112203,116039,117001,118925,121237,123340,123340,123340,127765,129092,131644,134714,137570,137570,137570,143067,144781,147854,150883,153435,153435,153435,157985
MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Madagascar,50279,50279,50279,52434,52434,52434,52434,54101,54101,54101,54101,54101,54101,54101,55138,55138,55827,55827,55827,55827,55827,57375,57375,57375,57375,57375,57375,57375,59319,59319,59319
Malawi,75828,76066,76295,76801,77629,78405,79082,79713,79987,80269,80867,81414,81890,82262,82506,82719,82792,82975,83219,83403,83565,83765,83823,83927,84013,84105,84224,84309,84389,84420,84475
Malaysia,2761472,2764354,2767044,2769886,2773156,2776699,2780080,2783331,2786219,2788860,2792035,2795233,2798917,2802263,2805337,2808347,2810689,2813934,2817163,2820927,2824973,2829089,2832945,2836159,2840225,2844969,2850408,2855930,2861069,2865984,2870758
