Country_Region,2022/03/01,2022/03/02,2022/03/03,2022/03/04,2022/03/05,2022/03/06,2022/03/07,2022/03/08,2022/03/09,2022/03/10,2022/03/11,2022/03/12,2022/03/13,2022/03/14,2022/03/15,2022/03/16,2022/03/17,2022/03/18,2022/03/19,2022/03/20,2022/03/21,2022/03/22,2022/03/23,2022/03/24,2022/03/25,2022/03/26,2022/03/27,2022/03/28,2022/03/29,2022/03/30,2022/03/31
Comoros,8033,8033,8033,8047,8047,8047,8048,8051,8051,8057,8060,8060,8063,8069,8069,8074,8074,8076,8076,8076,8077,8078,8078,8081,8081,8081,8081,8083,8085,8086,8086
Congo (Brazzaville),24020,24020,24020,24020,24020,24020,24020,24020,24041,24041,24049,24049,24049,24049,24049,24049,24049,24059,24059,24059,24062,24062,24062,24062,24062,24062,24062,24069,24069,24069,24071
Congo (Kinshasa),86039,86039,86138,86154,86154,86154,86154,86154,86271,86290,86315,86315,86315,86344,86375,86426,86461,86461,86461,86461,86461,86509,86585,86598,86611,86611,86611,86628,86715,86748,86748
Costa Rica,809131,811040,812812,814583,814583,814583,817538,818996,820445,821813,822935,822935,822935,825158,826251,827346,828442,829400,829400,829400,831152,832054,832966,833909,834726,834726,834726,834726,834726,837828,838537
Cote d'Ivoire,81483,81518,81523,81534,81546,81556,81556,81559,81571,81571,81577,81594,81597,81598,81616,81626,81637,81643,81655,81655,81667,81671,81675,81680,81690,81697,81697,81714,81719,81722,81741
Croatia,1055943,1058453,1060078,1061429,1062953,1063828,1063985,1065001,1067589,1069317,1070855,1072430,1073386,1073527,1074706,1077365,1079397,1081336,1083111,1084012,1084304,1085558,1087635,1089696,1091511,1093098,1094059,1094202,1095115,1097409,1099176
Cuba,1070258,1070730,1071326,1071964,1072474,1072956,1073504,1073951,1074469,1075030,1075616,1076229,1076785,1077405,1077966,1078525,1079111,1079853,1080686,1081472,1082201,1082880,1083691,1084568,1085404,1086361,1087183,1088017,1088638,1089452,1090285
Cyprus,324502,326611,328657,329674,331508,333238,334822,338517,341383,344856,347876,350688,353002,356784,360078,363792,367743,370311,373658,377356,382642,387315,392019,397205,400534,405706,410020,416514,421603,426377,430726
Czechia,3787816,3801822,3814708,3824372,3834261,3839664,3842705,3855105,3867607,3878361,3888172,3896563,3905420,3906606,3919536,3932228,3942465,3952137,3962517,3968087,3970741,3983263,3995765,4013020,4022019,4022019,4029203,4039032,4049647,4058723,4066564
Denmark,2829529,2850274,2850293,2883965,2899700,2910527,2922756,2938246,2955211,2969537,2983370,2990461,2997119,3005034,3014997,3024588,3032928,3040155,3046507,3051491,3056722,3064138,3070430,3075839,3081511,3085833,3089192,3092564,3097060,3101471,3105402
